"products_id","language_id","products_name","products_description","products_short_description","products_keywords","products_meta_title","products_meta_description","products_meta_keywords","products_url","products_viewed"
"133","1","Пневматическая винтовка Hatsan Torpedo 150 TH","<h1>Основные показатели пневматической винтовки Hatsan Torpedo 150 TH</h1>
<p>Модель Hatsan Torpedo 150 TH представляет собой пневматическую винтовку магнум-класса, которая предназначена для стрелков хотя бы с минимальным опытом владения оружием. Длина модели равна метру 17 сантиметрам, из которых 43 сантиметра &ndash; это нарезной ствол из особо прочной оружейной стали, обладающей антикоррозийными свойствами. Как и все классические модели пружинно-поршневого типа, Хатсан Торпедо 150 ТН является однозарядным устройством. Поскольку это достаточно мощная модель с начальной скоростью пули 380 м/c многие владельцы предпочитают приобретать глушитель, чтобы снизить уровень шума.</p>
<h2>Где купить винтовку Hatsan Torpedo 150 TH по выгодной цене?</h2>
<p>Интернет-магазин Diada Arms предлагает своим покупателя:</p>
<p>&bull; Пневматические винтовки и пистолеты</p>
<p>&bull; Арбалеты и луки</p>
<p>&bull; Оптику</p>
<p>&bull; Товары для игр пейнтбол и страйкбол</p>
<p>&bull; Товары для тира</p>
<p>&bull; Аксессуары и спецодежду.</p>
<p>В каталоге нашего портала вы найдете широкий ассортимент товара от ведущих мировых производителей. Вы также можете в любое время купить Hatsan Torpedo 150 TH по приемлемым ценам прямо из дома! Наш магазин специализируется на пневматических винтовках таких признанных оружейных концернов, как турецкий Hatsan и немецкий Diana RWS, поэтому мы смело гарантируем высокое качество продукции.</p>
<p>&nbsp;</p>
<p><a href=""http://diada-arms.ru/index.php?cat=25"">Цена на norica dragon станет для вас приятным сюрпризом</a></p>
<p><a href=""http://diada-arms.ru/index.php?cat=27"">Заказывайте насос для pcp винтовки в нашем магазине</a></p>","<p>Калибр (мм): <strong>4,5 </strong><br />Скорость пули (м/с): <strong>380</strong><br />Вес (кг): <strong>4,6</strong><br />Материал приклада: <strong>Улучшеный полимер</strong><br />Тип взведения: <strong>Подствольное взведение</strong><br />Зарядность: <strong>1 пуля</strong></p>","<a href='http://diada-arms.ru/article_info.php?articles_id=7'>клинок пневматика</a>, <a href='http://diada-arms.ru/article_info.php?articles_id=7'>мишени для пневматики</a>, <a href='http://diada-arms.ru/product_info.php?products_id=266'>Пневматический пистолет UMAREX S&W 686-6: отзывы, видео, информация и характеристики</a>","Пневматическая винтовка hatsan torpedo (хатсан торпедо) 150 th, mw camo купить по выгодной цене","У нас в интернет магазине вы можете купить пневматическую винтовку hatsan torpedo (хатсан торпедо) 150 th, mw camo по доступным ценам",,,"2228"
"644","1","Пневматическая винтовка Cybergun АК 47 (Пневматический Автомат Калашникова)","<h1>Пневматическая винтовка cybergun ак 47</h1>
<p>Все мальчишки в детстве мечтали иметь настоящий легендарный автомат калашникова ак 47, который получил мировую известность много лет назад. Прошло время, и теперь вашему вниманию предоставляется пневматическая винтовка cybergun ак 47  kwc калашников. Это чудо сопоставимо с размерами настоящего боевого оружия и повторяет все его внешние составляющие.</p>
<h2>Технические возможности пневматического автомата калашникова ак 74</h2>
<p>Купить автомат калашникова пневматический ак 47 вы можете в нашем интернет-магазине прямо сейчас, но сначала все-таки необходимо сказать несколько слов о возможностях данного оружия.  Главной отличительной чертой винтовки является тот факт, что стреляет она сферическими стальными пулями ВВ в полуавтоматическом режиме только самовзводом. Начальная скорость пневматического оружия автомат калашникова ак 47составляет примерно сто метров в секунду, что является достаточным уровнем для проведения стрельбы развлекательного уровня по мишеням в полевых условиях. Так как модель является аналогом известнейшего боевого оружия, то стоит сказать о совместимых деталях пневмоконструкции, а именно о предохранителе, раме затвора, прикладе, накладке газовой камеры, крышке ствольной коробки, упорно-спусковом механизме (УСМ), возвратной спирали и рукоятке, которые устанавливаются на данную пневматическую винтовку. Все детали оружия выполнены из высококачественных материалов, что, безусловно, облегчает его использование и увеличивает срок экспалуатации, естественно, при должном уходе.</p>
<h2>Пневматический автомат калашникова ak 47 &ndash; мечта настоящего охотника</h2>
<p>Если вы уже определились с покупкой, то цена пневматического автомата калашникова ак 74 не заставит вас отказаться от сделанного выбора. Винтовка сможет подойти также и тем, кто еще не очень знаком с особенностями развлекательной стрельбы. Оружие удобно в использовании, ведь производители стремились сделать его пригодным и для охоты на мелкую дичь. С дополнительными вопросами вы можете обращаться по телефонам, указанным на сайте.</p>
<p>&nbsp;</p>
<p><a href=""http://diada-arms.ru/index.php?cat=1"">Купить mp 512 из пластика</a></p>
<p><a href=""http://diada-arms.ru/index.php?cat=20"">Покупайте у нас gamo black shadow недорого</a></p>","<p>Калибр (мм): <strong>4,5 </strong><br />Скорость пули (м/с): <strong>120</strong><br />Вес (кг): <strong>3,05</strong><br />Материал приклада: <strong>Дерево</strong><br />Тип взведения: <br />Зарядность: <strong>20 пуль</strong></p>",,"Пневматическая винтовка ак 47 cybergun kwc (автомат калашникова) купить по выгодной цене","У нас в интернет магазине вы можете купить пневматическую винтовку ак 47 cybergun kwc (автомат калашникова) по доступным ценам",,,"3813"
"645","1","Пневматическая винтовка EDgun Матадор R3M, укороченный буллпап","<h1>Пневматическая винтовка edgun матадор</h1>
<p>На сегодняшний день винтовка матадор r3 edgun является одной из самых известных моделей российского производства.  Благодаря своей необычной конструкции, винтовка завоевала неподдельный интерес и по сей день пользуется небывалым спросом среди любителей развлекательной стрельбы. Пневматическая винтовка edgun матадор, цена которой, также, придется по душе даже самому привередливому покупателю, высоко оценена на мировом рынке специалистами пневматики.</p>
<h2>Техническое описание edgun матадор удлиненный буллпап</h2>
<p>Являясь очень компактным по размерам, оружие содержит в себе функционал, характерный для обычной пневматической винтовки и даже лучше. Стреляет винтовка пулями калибром четыре с половиной миллиметра и при одной заправке может совершать более пятидесяти выстрелов. На данный момент винтовка представлена сразу тремя разногабаритными модификациями в двух калибрах. Ложа и приклад выполнены из высококачественного дерева, которое покрыто специальной защитной эмульсией, защищающей от гниения и преждевременной поломки. При желании возможна установка открытых прицельных устройств на приспособление рельсового типа (планку Вивера). Кроме того, оружие оснащено саундмодератором, который фактически заглушает выстрелы и делает стрельбу максимально тихой. Если вы хотите купить edgun матадор удлиненный буллпап, то делайте заказ прямо сейчас в нашем интернет-магазине, так как выпуск данной модели производится в ограниченном количестве. По вопрос получения большей информации обращайтесь по телефонам, указанным на нашем сайте.</p>
<p>&nbsp;</p>
<p><a href=""http://diada-arms.ru/article_info.php?articles_id=24"">Низкая цена на мр 512 магнум</a></p>
<p><a href=""http://diada-arms.ru/index.php?cat=1"">Предлагаем купить воздушку мр 512</a></p>","<p>Калибр (мм): <strong>5,5 </strong><br />Скорость пули (м/с): <strong>305</strong><br />Вес (кг): <strong>2,580</strong><br />Материал приклада: <strong>Покраска (бук), пропитка (орех), ламинат</strong><br />Тип взведения: <strong>Болтовое взведение</strong><br />Зарядность: <strong>Не менее 50 выстрелов с одной заправки <span style=""font-weight: bold;"">(магазин 10 пуль)</span></strong></p>",,"Пневматическая винтовка edgun матадор  r3 удлиненный буллпап купить по выгодной цене","У нас в интернет магазине вы можете купить пневматическую винтовку edgun матадор  r3 удлиненный буллпап по доступным ценам",,,"1342"
"646","1","Пневматическая винтовка EDgun Матадор R3M, стандартный буллпап","<h2>Описание винтовки EDgun Матадор</h2>
<p>Винтовка EDgun &laquo;Матадор&raquo; является визитной карточкой компании-производителя. Среди любителей пневматического оружия даже существует поговорка: &laquo;Сколько не делай буллпап, все равно получится Матадор&raquo;.Простота, надежность и великолепные стрелковые характеристики &ndash; отличительные качества винтовки EDgun &laquo;Матадор&raquo;, что не раз было доказано при проведении соревнований по стрельбе из пневматического оружия, и эксплуатацией продукции компании EDgun стрелками и охотниками в различных условиях суровой русской природы. Производится в калибре 4.5, 5.5.</p>
<p><a href=""http://diada-arms.ru/index.php?cat=26"">В нашем интернет-магазине вы можете купить crosman cs1k77 phantom</a></p>
<p><a href=""http://diada-arms.ru/index.php?cat=27"">Заказать специальный насос для pcp винтовки</a></p>","<p>Калибр (мм): <strong>5,5 </strong><br />Скорость пули (м/с): <strong>305</strong><br />Вес (кг): <strong>2,680</strong><br />Материал приклада: <strong>Покраска (бук), пропитка (орех), ламинат</strong><br />Тип взведения: <strong>Болтовое взведение</strong><br />Зарядность: <strong>Не менее 70 выстрелов с одной заправки (магазин 10 пуль)<br /></strong></p>",,,,,,"923"
"647","1","Пневматическая винтовка EDgun Матадор R3M, удлиненный буллпап","<p>Винтовка EDgun &laquo;Матадор&raquo; является визитной карточкой компании-производителя. Среди любителей пневматического оружия даже существует поговорка: &laquo;Сколько не делай буллпап, все равно получится Матадор&raquo;.Простота, надежность и великолепные стрелковые характеристики &ndash; отличительные качества винтовки EDgun &laquo;Матадор&raquo;, что не раз было доказано при проведении соревнований по стрельбе из пневматического оружия, и эксплуатацией продукции компании EDgun стрелками и охотниками в различных условиях суровой русской природы. Производится в калибре 4.5, 5.5.</p>
<p>&nbsp;</p>
<p><a href=""http://diada-arms.ru/index.php?cat=31"">Надежный umarex beretta cx4</a></p>
<p><a href=""http://diada-arms.ru/index.php?cat=34"">Низкая цена на umarex perfecta 45</a></p>","<p>Калибр (мм): <strong>5,5 </strong><br />Скорость пули (м/с): <strong>315</strong><br />Вес (кг): <strong>3,1</strong><br />Материал приклада: <strong>Покраска (бук), пропитка (орех), ламинат</strong><br />Тип взведения: <strong>Болтовое взведение</strong><br />Зарядность: <strong>Не менее 90 выстрелов с одной заправки <span style=""font-weight: bold;"">(магазин 10 пуль)</span></strong></p>",,,,,,"1524"
"134","1","Пневматическая винтовка Hatsan Torpedo 155","<h2><span style=""color: #ffffff;""><span style=""font-size: medium;"">Описание товара</span></span></h2>
<p><span style=""color: #ffffff;""><span style=""font-size: medium;"">Последней моделью данного производителя является Hatsan Torpedo 155. Пневматическая винтовка Hatsan Torpedo 155 относится к пружинно-поршневому типу пневматики, однозарядная. Обычно для стрельбы используют свинцовые пули, калибра 4,5 мм. Зарядка винтовки происходит за счет специального подствольного рычага. Приклад и ложе винтовки выполнены из дерева, ствол - стальной, нарезной, неподвижный. Ложе типа ""Монте-Карло"". Спусковой механизм регулируемый, спусковой крючок позолоченный. Из прицельных приспособлений выделяют прицельную планку и мушку фирмы Truglo. Данная модель имеет возможность установки оптического прицела или коллиматора на специальное крепление ""ласточкин хвост"". За счет того, что винтовка выполнена из дерева, вес ее составляет 4,6 кг. Доступная цена и соответствующее качество полностью оправдывают турецкого производителя.</span></span></p>
<p>&nbsp;</p>
<p><a href=""http://diada-arms.ru/product_info.php?products_id=99"">Винтовка gamo whisper x оснащена открытым прицелом с фиброоптическими нитями</a></p>
<p><a href=""http://diada-arms.ru/index.php?cat=1"">В продаже имеется воздушка мр 512 и другие модели винтовок ИЖ</a><span style=""color: #ffffff;""><span style=""font-size: medium;"">&nbsp;</span></span></p>","<p>Калибр (мм): <strong>4,5 </strong><br />Скорость пули (м/с): <strong>380</strong><br />Вес (кг): <strong>4,8</strong><br />Материал приклада: <strong>Дерево</strong><br />Тип взведения: <strong>Подствольное взведение</strong><br />Зарядность: <strong>1 пуля</strong></p>
<p><span style=""color: #ffffff;""><span style=""font-size: medium;"">&nbsp;</span></span></p>","<a href='http://diada-arms.ru/article_info.php?articles_id=7'>большой выбор пневматики</a>, <a href='http://diada-arms.ru/article_info.php?articles_id=7'>мишени для пневматики механические</a>, <a href='http://diada-arms.ru/product_info.php?products_id=265'>Пневматический пистолет UMAREX Heckler & Koch USP: отзывы, видео, информация и характеристики</a>","Пневматическая винтовка Hatsan Torpedo 155 (Хатсан Торпедо 155), купить оружейную пневматику в интернет-магазине со склада, ружья, пистолеты, автоматы, винтовки по низким ценам, отзывы, видео и характеристики (например размер ствола), можно узнать из раздела информация","Купить оружейную пневматику в интернет-магазине со склада, Пневматическая винтовка Hatsan Torpedo 155 (Хатсан Торпедо 155), автоматы, ружья, винтовки, пистолеты по низким ценам, видео и отзывы, а также характеристики (например размер ствола), можно узнать из раздела информация",,,"9275"
"776","1","Арбалет-пистолет MK-80-A4PL с рычагом",,"<p>Усилие натяжения : <strong>36 кг</strong><br />Начальная скорость : <strong>50 м/с </strong><br />Расстояние между осями : <strong>43 см</strong><br />Рабочий ход тетивы : <strong>14 см (5,5"")</strong><br />Длина стрелы : <strong>6,5 дюймов</strong><br />Габариты : <strong>длинна корпуса 53 см</strong><br />Масса : <strong>0,9 кг</strong></p>
<p style=""text-align: left;"">В комплект входит:</p>
<p><strong>- арбалет<br />- 2 стрелы</strong></p>",,,,,,"118"
"777","1","Арбалет-пистолет Скаут, 36 кг (Cobra) черный",,"<p>Усилие натяжения : <strong>36 кг</strong><br />Начальная скорость : <strong>50 м/с </strong><br />Расстояние между осями : <strong>44 см</strong><br />Рабочий ход тетивы : <strong>16,5 см (6,5"")</strong><br />Длина стрелы : <strong>6,5 дюймов</strong><br />Габариты : <strong>50см/43см/14см</strong><br />Масса : <strong>0,9 кг</strong></p>
<p style=""text-align: left;"">В комплект входит:</p>
<p><strong>- арбалет<br />- 3 алюминевых дротика<br /></strong></p>",,,,,,"170"
"778","1","Арбалет-пистолет MK 80A4ALR алюминий",,"<p>Усилие натяжения : <strong>36,3 кг</strong><br />Начальная скорость : <strong>50 м/с </strong><br />Расстояние между осями : <strong>44,5 см</strong><br />Рабочий ход тетивы : <strong>16,5 см (6,5"")</strong><br />Длина стрелы : <strong>6,5 дюймов</strong><br />Габариты : <strong>длина корпуса 49,5 см</strong><br />Масса : <strong>0,9 кг</strong></p>
<p style=""text-align: left;"">В комплект входит:</p>
<p><strong>- арбалет<br />- 3 алюминевых стрелы</strong></p>",,,,,,"96"
"779","1","Арбалет-пистолет MK-50-A2/5PL алюминий",,"<p>Усилие натяжения : <strong>22 кг</strong><br />Начальная скорость : <strong>46 м/с </strong><br />Расстояние между осями : <strong>44,5 см</strong><br />Рабочий ход тетивы : <strong>14 см</strong><br />Длина стрелы : <strong>6,5 дюймов</strong><br />Габариты : <strong>длина корпуса 32,5 см</strong><br />Масса : <strong>0,65 кг</strong></p>
<p style=""text-align: left;"">В комплект входит:</p>
<p><strong>- арбалет<br />- 3 стрелы</strong></p>",,,,,,"119"
"780","1","Арбалет-пистолет TDR 2000С","<h1>Арбалет-пистолет TDR 2000c</h1>
<p>Одной из недавно выпущенных моделей компании Jiaozuo SanLiDa является арбалет-пистолет TDR 2000c, который представляет собой принципиально новый вид арбалетов. Моделей, подобных ему, на российском рынке крайне мало. Суть инновации в том, что это устройство позволяет стрелять не только стрелами, но также пулями диаметром 6 мм и дротиками. Такая многофункциональность сразу дает ему несколько преимуществ при охоте, которые с радостью были восприняты в охотничьем мире. Автоматическая подача пуль обеспечивает быстроту и скорострельность, которой часто не хватает профессионалам, а традиционное использование стрел только улучшило свои характеристики.</p>
<h2>Особенности арбалета-пистолета TDR 2000c</h2>
<p>Это устройство сделано из дерева и металла. Оно имеет несколько больший вес, чем традиционные модели, однако это может быть расценено как достоинство, ведь арбалет, имеющий больший вес, менее чувствителен к внешнему воздействию и не так остро реагирует на какие-либо технически погрешности при выполнении выстрела. Начальная скорость полета стрелы равняется 40 м/с. Такая скорость достигается благодаря блочному устройству арбалета, использующему эксцентрики для увеличения натяжения тетивы. арбалет-пистолет TDR 2000c, купить который уже сегодня можно во многих магазинах, в том числе и в нашем, предлагает вам не только исключительные стрелковые характеристики, но также комфорт и удобство в использовании. Входящие в комплектацию прицел, мишень и набор стрел, дротиков и пуль позволят вам начать практиковаться в стрельбе незамедлительно, без необходимости совершать дополнительные покупки.</p>","<div>
<p>Усилие натяжения : <strong>19,6 кг</strong><br />Начальная скорость : <strong>40 м/с </strong><br />Расстояние между осями : <strong>47 см</strong><br />Рабочий ход тетивы : <strong>20-29 см</strong><br />Длина стрелы : <strong>6,5 дюймов</strong><br />Габариты : <strong>50 см x 40 см х 68 см</strong><br />Масса : <strong>2,2 кг</strong></p>
<p style=""text-align: left;"">В комплект входит:</p>
<strong>- 1 коллиматорный прицел<br />- 2 стрелы типа С (75 мм)<br />- 1 стрела 6,5 дюймов<br />- 20 металлических шариков (6 мм)<br /> - 1 бумажная мишень <br />- 1 шестигранный гаечный ключ <br />- 1 руководство</strong></div>",,,,,,"309"
"781","1","Арбалет-пистолет Yarrow Model D","<h1>Yarrow model d: опасная игрушка</h1>
<p>Арбалет пистолет yarrow model d внешне выглядит игрушечной копией своих старших братьев в линейке китайской компании из-за миниатюрных размеров: длина его корпуса составляет всего 32 см, а расстояние между осями не превышает 42 см. Однако такое оружие дает начальную скорость снаряда в полсотни метров, что характеризует его как довольно мощный арбалет в своей весовой категории. Весит арбалет yarrow model d чуть больше шоколадки. Купить арбалет yarrow model d можно на нашем сайте.</p>","<div>
<p>Усилие натяжения : <strong>36 кг</strong><br />Начальная скорость : <strong>46 м/с </strong><br />Расстояние между осями : <strong>42 см</strong><br />Рабочий ход тетивы : <strong>14 см</strong><br />Длина стрелы : <strong>6,5 дюймов</strong><br />Габариты : <strong>длина корпуса 32 см</strong><br />Масса : <strong>0,9 кг</strong></p>
<p style=""text-align: left;"">В комплект входит:</p>
<strong>- лук - 1 шт. <br />- корпус арбалета - 1 шт. <br />- тетива - 1 шт. <br />- стремя - 1 шт. <br />- протектор - 2 шт. <br />- проставка - 1 шт. <br />- прижимной винт - 1 шт. <br />- шестигранный ключ - 1 шт. <br />- стрела - 3 шт. <br />- паспорт изделия - 1 шт.</strong></div>",,,,,,"167"
"782","1","Арбалет-пистолет TDR 2005А",,"<p>Усилие натяжения : <strong>18,1 кг</strong><br />Начальная скорость : <strong>43 м/с</strong><br />Расстояние между осями : <strong>37 см</strong><br />Рабочий ход тетивы :<strong>19-22 см</strong><br />Длина стрелы :<strong> 6,5 дюймов</strong><br />Габариты : <strong>длина: 29 см ширина: 36,8 см</strong><br />Масса : <strong>1,3 кг</strong></p>
<p style=""text-align: left;"">В комплект входит:</p>
<p><strong>- дротики<br />- стальные шарики (6 мм)<br /></strong></p>",,,,,,"208"
"783","1","Арбалет-пистолет MK-50-A1/5PL пластик",,"<p>Усилие натяжения : <strong>22 кг</strong><br />Начальная скорость : <strong>46 м/с</strong><br />Расстояние между осями : <strong>41 см</strong><br />Рабочий ход тетивы :<strong>16,5 см</strong><br />Длина стрелы :<strong> 6,5 дюймов</strong><br />Габариты : <strong>длина корпуса 32,5 см</strong><br />Масса : <strong>0,4 кг</strong></p>
<p style=""text-align: left;"">В комплект входит:</p>
<p><strong>- арбалет<br />- 3 стрелы<br /></strong></p>",,,,,,"138"
"784","1","Арбалет-пистолет MK-80-A3 алюминиевый корпус, 36кг",,"<p>Усилие натяжения : <strong>36 кг</strong><br />Начальная скорость : <strong>48 м/с</strong><br />Расстояние между осями : <strong>41,9 см</strong><br />Рабочий ход тетивы :<strong>14 см</strong><br />Длина стрелы :<strong> 6,5 дюймов</strong><br />Габариты : <strong>длина корпуса 43,1 см</strong><br />Масса : <strong>0,7 кг</strong></p>
<p style=""text-align: left;"">В комплект входит:</p>
<p><strong>- арбалет<br />- 2 стрелы</strong></p>",,,,,,"146"
"785","1","Арбалет-пистолет Yarrow Model E","<h1>Арбалет yarrow model e: бюджетный выбор</h1>
<p>Арбалет-пистолет рекурсивного типа yarrow model e широко распространен на российском рынке метательного оружия благодаря своей ценовой доступности. Бюджетная&nbsp; (около 1&nbsp;000 рублей) модель пистолета арбалета фирмы yarrow весит почти 400 г и по этому&nbsp; показателю часто сравнивается с пневматическими пистолетами. Стреляет арбалет yarrow e стрелами размером с карандаш, но из-за невысокой мощности используется исключительно для развлекательной стрельбы. Подойдет новичкам при знакомстве с арбалетами.</p>","<p>Усилие натяжения : <strong>23 кг</strong><br />Начальная скорость : <strong>46 м/с</strong><br />Расстояние между осями : <strong>42 см</strong><br />Рабочий ход тетивы :<strong>14 см</strong><br />Длина стрелы :<strong> 6,5 дюймов</strong><br />Габариты : <strong>длина корпуса 32 см</strong><br />Масса : <strong>0,4 кг</strong></p>
<p style=""text-align: left;"">В комплект входит:</p>
<p><strong>- лук - 1 шт. <br />- корпус арбалета - 1 шт. <br />- тетива - 1 шт. <br />- проставка - 1 шт. <br />- протектор - 2 шт. <br />- прижимной винт - 1 шт. <br />- шестигранный ключ - 1 шт. <br />- стрела - 5 шт. <br />- паспорт изделия - 1 шт.</strong></p>",,,,,,"402"
"786","1","Арбалет-пистолет TDR 2005М",,"<p>Усилие натяжения : <strong>19 кг</strong><br />Начальная скорость : <strong>52 м/с</strong><br />Расстояние между осями : <strong>47 см</strong><br />Рабочий ход тетивы :<strong> 24 см</strong><br />Длина стрелы :<strong> 6,5 дюймов</strong><br />Габариты : <strong>длина: 46 см ширина: 49 см</strong><br />Масса : <strong>2,7 кг</strong></p>
<p style=""text-align: left;"">В комплект входит:</p>
<p><strong>- стрелы<br />- дротики<br />- стальные шарики (6 мм)</strong></p>",,,,,,"434"
"787","1","Арбалет-пистолет MK-80A4PLR",,"<p>Усилие натяжения : <strong>36 кг</strong><br />Начальная скорость : <strong>48 м/с</strong><br />Расстояние между осями : <strong>43 см</strong><br />Рабочий ход тетивы :<strong> 16,5 см</strong><br />Длина стрелы :<strong> 6,5 дюймов</strong><br />Габариты : <strong>длина корпуса 50,8 см</strong><br />Масса : <strong>0,6 кг</strong></p>
<p style=""text-align: left;"">В комплект входит:</p>
<p><strong>- 3 алюминиевые стрелы<br />- 1 плечи<br />- 1 тетива</strong></p>",,,,,,"111"
"788","1","Арбалет-пистолет Оса MK-80 A4AL алюминий, с рычагом","<h1>Арбалет-пистолет MK-80-A3</h1>
<p>Модель арбалета-пистолета MK-80-A3, произведенная известной тайваньской фирмой Man Kung, представляет собой одно из наиболее легких и потому мобильных устройств такого типа. Если вы обладаете достаточным опытов в стрельбе из арбалета и хотите приобрести модель для стрельбы на 15-20 метров, этот вариант идеально вам подходит. Алюминиевый корпус при своей легкости позволяет пользоваться этим оружием достаточно долгое время. Скорость полета стрелы может достигать 48 м/с, а сила натяжения равняется 48 кг.</p>","<p>Усилие натяжения : <strong>36 кг</strong><br />Начальная скорость : <strong>48 м/с</strong><br />Расстояние между осями : <strong>44 см</strong><br />Рабочий ход тетивы :<strong> 16,5 см</strong><br />Длина стрелы :<strong> 6,5 дюймов</strong><br />Габариты : <strong>длина корпуса 50,8 см</strong><br />Масса : <strong>0,9 кг</strong></p>
<p style=""text-align: left;"">В комплект входит:</p>
<p><strong>- арбалет<br />- 2 стрелы</strong></p>",,,,,,"216"
"789","1","Арбалет-пистолет Аспид","<h1>Арбалеты пистолетного типа аспид</h1>
<p>Арбалет Аспид, отзывы владельцев которого практически исключительно положительные, представляет собой современный и надежный вид метательного оружия пистолетного типа. Плечи для арбалета Аспид изготавливаются из прочного композита, а центр тяжести находится ближе к рукояти, что делает использование арбалета более комфортным для стрелка.</p>
<h2>Арбалет пистолет аспид: многофункциональное оружие</h2>
<p>Пистолет арбалет аспид 18 относится к трехфункциональным моделям, так как при стрельбе из него могут использоваться боеприпасы трех разных типов. Первый тип &ndash; это стрелы-дротики (для более точной стрельбы лучше использовать двухперьевые карбоновые разновидности стрел). Второй &ndash; стальные шарики диаметром 6 мм. Скорость полета шарика гораздо выше, чем у стрелы, поэтому с его помощью можно добиться большей пробивной силы. Арбалет аспид 18 может стрелять и гарпунами: прицельная дальность при этом достигает 20 метров, что на 5 метров больше, чем при использовании стрел.</p>
<h2>Арбалет пистолет аспид: купить сейчас</h2>
<p>Арбалет Аспид, цена которого может считаться весьма демократичной, приобретается в основном любителями пострелять ради развлечения. Не самые выдающиеся параметры этой модели не позволяют эффективно использовать ее на охоте, а вот для того, чтобы выпускать стрелы или шарики по мишени, &laquo;Аспид&raquo; - едва ли не самый оптимальный вариант по соотношению цены и качества. Станьте владельцем арбалета Аспид, заполнив форму на странице нашего сайта или позвонив по указанному в &laquo;Контактах&raquo; телефону.</p>","<p>Усилие натяжения : <strong>18 кг</strong><br />Начальная скорость : <strong>50 м/с </strong><br />Расстояние между осями : <strong>28 см</strong><br />Рабочий ход тетивы : <strong>16 см</strong><br />Длина стрелы :<strong> 6,5 дюймов</strong><br />Габариты : <strong>ширина : 28 см высота : 13 см</strong> <strong>длинна корпуса : 30 см</strong><br />Масса : <strong>0,9 кг</strong></p>
<p style=""text-align: left;"">В комплект входит:</p>
<p><strong>- стрелы<br />- шарики <br />- запасная тетива</strong></p>",,,,,,"309"
"135","1","Пневматическая винтовка Hatsan 90 Camo","<h1>Пневматическая винтовка Hatsan 90 Camo TR</h1>
<p>Данная модель винтовки Hatsan 90 Camo TR представляет собой продолжение линейного ряда после Hatsan 70 Camo. Отличительными чертами, которые стали залогом возрастающей популярности этого оружия, являются:</p>
<p>&bull; Качественный стальной  сплав нарезного ствола</p>
<p>&bull; Прочный пластик приклада</p>
<p>&bull; Простота в эксплуатации и уходе.</p>
<p>Ели говорить о технических характеристиках, то они также впечатляют:</p>
<p>&bull; Скорость пули  - до 305 м/c</p>
<p>&bull; Мощность  - 7,5 Дж.</p>
<p>Такая пружинно-поршневая винтовка, несомненно, станет выгодным приобретением.</p>
<p>&nbsp;</p>
<p><a href=""http://diada-arms.ru/product_info.php?products_id=510"">Заказывайте пневматическую винтовку hatsan bt65 rb w на нашем сайте</a></p>
<p><a href=""http://diada-arms.ru/product_info.php?products_id=511"">Надежная пневматическая винтовка hatsan bt65 sb w станет лучшим подарком для любого охотника</a></p>","<p>Калибр (мм): <strong>4,5 </strong><br />Скорость пули (м/с): <strong>305</strong><br />Вес (кг): <strong>3,2</strong><br />Материал приклада: <strong>Улучшеный полимер</strong><br />Тип взведения: <strong>Перелом ствола</strong><br />Зарядность: <strong>1 пуля</strong><span style=""color: #ffffff;""><span style=""font-size: medium;""><br /></span></span></p>
<p><span style=""color: #ffffff;""><span style=""font-size: medium;"">&nbsp;</span></span></p>","<a href='http://diada-arms.ru/article_info.php?articles_id=7'>мишени для пневматики механические</a>, <a href='http://diada-arms.ru/article_info.php?articles_id=7'>мишени для пневматики купить</a>, <a href='http://diada-arms.ru/product_info.php?products_id=264'>Пневматический пистолет UMAREX Colt Government 1911 A1 417.00.00: отзывы, видео, информация и характеристики</a>","Пневматическая винтовка hatsan 90 camo tr купить по выгодной цене","У нас в интернет магазине вы можете купить пневматическую винтовку hatsan 90 camo tr по доступным ценам",,,"871"
"979","1","Кейс для блочного лука черного цвета Protector Series Compact Bow Case черный",,,,,,,,"89"
"980","1","Чехол для блочного лука (черный)","<p><span style=""color: #000000; font-family: Arial, 'Helvetica CY', 'Nimbus Sans L', sans-serif; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: 22px; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">чехол для блочного лука&nbsp; (черный). Подходит для всех моделей&nbsp; блочных луков кроме ""Хищник"" и ""Ястреб"".</span></p>","<p><span style=""color: #000000; font-family: Arial, 'Helvetica CY', 'Nimbus Sans L', sans-serif; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: 22px; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">Чехол для блочного лука&nbsp; (черный). </span></p>
<p><span style=""color: #000000; font-family: Arial, 'Helvetica CY', 'Nimbus Sans L', sans-serif; font-size: 13px; font-style: normal; font-variant: normal; font-weight: normal; letter-spacing: normal; line-height: 22px; orphans: auto; text-align: start; text-indent: 0px; text-transform: none; white-space: normal; widows: auto; word-spacing: 0px; -webkit-text-stroke-width: 0px; background-color: #ffffff; display: inline !important; float: none;"">Подходит для всех моделей&nbsp; блочных луков кроме ""Хищник"" и ""Ястреб"".</span></p>",,,,,,"61"
